Title_text,Title_href,Price,Description,Buyinfo
Parrot Hydrofoil New - PF723401AA,https://drony.heureka.sk/parrot-hydrofoil-new-pf723401aa/,"190,00 €",Parrot Hydrofoil je obojživelná hračka ovládaná cez Bluetooth z vášho telefónu alebo tabletu. Pripnite kvadrokoptéru na hornú časť plávajúceho modulu a použite jej rotory pre...,
"Nine Eagles Galaxy Visitor 3 RTF 2,4GHz s kamerou - NE3907",https://drony.heureka.sk/nine-eagles-galaxy-visitor-3-rtf-2_4ghz-s-kamerou-ne3907/,"139,00 €",Inteligentný dron Nine Eagles Galaxy Visitor 3 RTF:Kvadrokoptéra NINE EAGLES GALAXY VISITOR 3 RTF s vynikajúcimi letovými vlastnosťami.  Konštrukcia z kvalitného pružného plastu...,
"Nine Eagles Galaxy Visitor 8 RTF šedo-zelený, mód 2 - NE3912-2",https://drony.heureka.sk/nine-eagles-galaxy-visitor-8-rtf-sedo-zeleny-mod-2-ne3912-2/,"56,12 €","Inteligentný dron Nine Eagles Galaxy Visitor 8 RTF šedo-zelený, mód 2: Kvadrokoptéra Nine Eagles Galaxy Visitor 8 RTF je minikoptéra s vynikajúcimi letovými vlastnosťami....",
"Nine Eagles Galaxy Visitor 8 RTF šedo-zelený, mód 1 - NE3912",https://drony.heureka.sk/nine-eagles-galaxy-visitor-8-rtf-sedo-zeleny-mod-1-ne3912/,"55,90 - 60,46 €","Inteligentný dron Nine Eagles Galaxy Visitor 8 RTF šedo-zelený, mód 1: Kvadrokoptéra Nine Eagles Galaxy Visitor 8 RTF je minikoptéra s vynikajúcimi letovými vlastnosťami....",
"Nine Eagles Galaxy Visitor 7 RTF, mód 2 - NE3910-2",https://drony.heureka.sk/nine-eagles-galaxy-visitor-7-rtf-mod-2-ne3910-2/,"199,00 €",Nová kvadrokoptéra od Nine Eagles dominuje nie len svojím tichým a kľudným letom ale aj online prenosu obrazu do mobilného zariadenia. S 3 osovým gyroskopickým stabilizačným...,
"Nine Eagles Galaxy Visitor 7 RTF, mód 1 - NE3910",https://drony.heureka.sk/nine-eagles-galaxy-visitor-7-rtf-mod-1-ne3910/,"242,97 €","Inteligentný dron Nine Eagles Galaxy Visitor 7 RTF, mód 1: Kvadrokoptéra Nine Eagles Galaxy Visitor 7 RTF je minikoptéra s WiFi Full HD kamerou a vynikajúcimi letovými...",
Parrot Jumping Race Drone Jett - PF724305AA,https://drony.heureka.sk/parrot-jumping-race-drone-jett-pf724305aa/,"129,00 - 199,00 €","Drony z rady Jumping sú inteligentné pozemné roboty, pilotované cez Wi-Fi pomocou aplikácie v smartfóne alebo tablete. 

Zabudovaná kamera

- Sú vybavené šiorkouhlou kamerou,...",
Parrot Bebop Skycontroller Blue - PF725101,https://drony.heureka.sk/parrot-bebop-skycontroller-blue-pf725101/,"777,00 - 899,00 €","Absolútna novinka tohtoročnej zimy. 

Splňte si svoj detský sen a prežívajte nezabudnuteľné leteckej okamihy s čtyřvrtulovým lietadlom Parrot Bebop. Verte, že tento prístroj nie...",
Parrot Jumping Night Diesel - PF724103AA,https://drony.heureka.sk/parrot-jumping-night-diesel-pf724103aa/,"205,10 €","Drony z rady Jumping sú inteligentné pozemné roboty, pilotované cez Wi-Fi pomocou aplikácie v smartfóne alebo tablete. 

Zabudovaná kamera

- Sú vybavené šiorkouhlou kamerou,...",
Parrot Bebop Yellow - PF722002,https://drony.heureka.sk/parrot-bebop-yellow-pf722002/,"316,10 €","Kvadrikoptéra riadená pomocou inteligentného telefónu či tabletu alebo špeciálneho ovládača Parrot Skycontroller, 14 Mpx objektív ""rybie oko"" s pozorovacím uhlom obrazu 180 °,...",
Parrot Bebop Skycontroller Yellow - PF725102,https://drony.heureka.sk/parrot-bebop-skycontroller-yellow-pf725102/,"599,00 - 789,60 €","Absolútna novinka tohtoročnej zimy. 

Splňte si svoj detský sen a prežívajte nezabudnuteľné leteckej okamihy s čtyřvrtulovým lietadlom Parrot Bebop. Verte, že tento prístroj nie...",
"T2M Spyrit RTF 2,4GHz s kamerou (3410560051461)",https://drony.heureka.sk/t2m-spyrit-rtf-2_4ghz-s-kamerou-3410560051461/,"102,49 €","Dron - kvadrokoptéra, 3D flip, HD kamera 1280 x 720 pixelov, súčasťou balenia je 4 GB Micro SD karta. Hračka, ktorá poteší deti aj dospelých.Kvadrokoptéra je určená ako na...",
Parrot Power Edition - PF721003BI,https://drony.heureka.sk/parrot-power-edition-pf721003bi/,"276,70 €","Wi-Fi kvadrikoptéra Parrot AR.Drone 2.0, džungle
Určeno pro zařízení s iOS a OS Android

AR DRONE 2.0 je čtyřvrtulová helikoptéra ovládaná přes smartphone nebo tablet...",
Revell Nano Quad black/orange - 23971,https://drony.heureka.sk/revell-nano-quad-black-orange-23971/,"31,98 - 49,59 €","Mini kvadrokoptéra od firmy Revell, meria len 45 mm ku 45 mm a tak nie je o mnoho väčšia ako 2 € minca. S inovatívnou GHz technológiou a riadiacou elektronikou dokáže vyrovnať...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Parrot Airborne Cargo Travis žltý - PF723304AA,https://drony.heureka.sk/parrot-airborne-cargo-travis-zlty-pf723304aa/,"67,32 - 85,92 €","Kvadrikoptéra Parrot Airborne je luxusne spracovaná lietajúci hračka, ktorá poteší deti aj dospelých a je určená tak na lietanie v exteriéri, tak v interiéri. Táto kvadrikoptéra...",
Parrot Airborne Night Blaze červený - PF723108AA,https://drony.heureka.sk/parrot-airborne-night-blaze-cerveny-pf723108aa/,"103,00 - 109,00 €","Precízne spracovaná lietajúca hračka, Kvadrikoptéra Parrot Airborne Night Drone Blaze, poteší deti aj dospelých. Je určená na lietanie v exteriéri aj v interiéri. Táto...",
Revell Hexatron Multikoptéra - 23961,https://drony.heureka.sk/revell-hexatron-multikoptera-23961/,"149,00 - 168,68 €","Hexakoptéra Hexatron je poriadny macek, ale je to tiež naozaj úžasná záležitosť. Vďaka jeho veľkosti a tiež šestici rotorov lieta Hexatron pozoruhodne potichu. To ale neznamená,...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Parrot Hydrofoil New Z biely - PF723401AA,https://drony.heureka.sk/parrot-hydrofoil-new-z-biely-pf723401aa/,"60,00 - 131,07 €",Parrot Hydrofoil je obojživelná hračka ovládaná cez Bluetooth z vášho telefónu alebo tabletu. Pripnite kvadrokoptéru na hornú časť plávajúceho modulu a použite jej rotory pre...,
"Nine Eagles Galaxy Visitor 6 RTF, mód 1 - NE3909",https://drony.heureka.sk/nine-eagles-galaxy-visitor-6-rtf-mod-1-ne3909/,"94,25 - 147,00 €","RC kvadrokoptéra Nine Eagles Galaxy Visitor 6 s HD kamerou

Model je vyrobený z kvalitného plastu, ktorý chráni súčiastky pred poškodením a disponuje 160 mm rotormi, ktoré...",
Parrot Bebop Drone Blue - PF722010AA,https://drony.heureka.sk/parrot-bebop-drone-blue-pf722010aa/,"402,00 €","Kvadrikoptéra riadená pomocou inteligentného telefónu či tabletu alebo špeciálneho ovládača Parrot Skycontroller, 14 Mpx objektív ""rybie oko"" s pozorovacím uhlom obrazu 180 °,...",
Parrot Airborne Cargo Mars biely - PF723305AA,https://drony.heureka.sk/parrot-airborne-cargo-mars-biely-pf723305aa/,"79,00 - 80,45 €","Kvadrikoptéra Parrot Airborne je luxusne spracovaná lietajúci hračka, ktorá poteší deti aj dospelých a je určená tak na lietanie v exteriéri, tak v interiéri. Táto kvadrikoptéra...",
Parrot Airborne Night MacLane modrý - PF723107AA,https://drony.heureka.sk/parrot-airborne-night-maclane-modry-pf723107aa/,"102,40 - 134,20 €",- Parrot Airborne Night Drone je ultra-kompaktný dron riadený smartphonom. Lieta v interiéri aj exteriéri s prekvapivou rýchlosťou a stabilitou. Akrobatické triky sú k...,
DJI S1000 Profi + A2 + Z15 GH4 HD - DJI1000-C05,https://drony.heureka.sk/dji-s1000-profi-plus-a2-plus-z15-gh4-hd-dji1000-c05/,"4 780,00 €","S1000 BEZPEČNOST A STABILITA Díky ""V-čkové"" konstrukci dokáže ze svého pohonnému systému S1000 vytáhnout neskutečný výkon a účinnost. V kombinaci s řídící jednotkou jako...",
DJI S1000 Profi + A2 + Z15 5D HD - DJI1000-C04,https://drony.heureka.sk/dji-s1000-profi-plus-a2-plus-z15-5d-hd-dji1000-c04/,"4 999,00 €","S1000 BEZPEČNOST A STABILITA Díky ""V-čkové"" konstrukci dokáže ze svého pohonnému systému S1000 vytáhnout neskutečný výkon a účinnost. V kombinaci s řídící jednotkou jako...",
DJI S800 Evo + A2 - DJI0082,https://drony.heureka.sk/dji-s800-evo-plus-a2-dji0082/,"2 722,10 €","Profi riadiaci systém pre multikoptéry so vstavaným Rx FASSt, podporou S-BUS a satelitov JR/Spektrum a GPS. Režim riadenia: GPS, automat, stabilizácia, ručná. Pre kvadrokoptéry...",
DJI S1000 Profi + A2 - DJI1000-C01v,https://drony.heureka.sk/dji-s1000-profi-plus-a2-dji1000-c01v/,"3 210,00 €","S1000 BEZPEČNOST A STABILITA Díky ""V-čkové"" konstrukci dokáže ze svého pohonnému systému S1000 vytáhnout neskutečný výkon a účinnost. V kombinaci s řídící jednotkou jako...",
DJI S900 - DJI0900,https://drony.heureka.sk/dji-s900-dji0900/,"1 227,80 €","Lehká, pevná a stabilní Ramena S900 a podvozek jsou vyrobeny z odolného uhlíkového vlákna, což výrazně snižuje hmotnost a zároveň zvyšuje stabilitu a pevnost. To umožňuje...",
DJI S1000+ Premium - DJI1000X,https://drony.heureka.sk/dji-s1000-plus-premium-dji1000x/,"1 798,10 €",S1000+ Premium,
DJI S1000+ Premium + A2 + Z15 GH4 - DJI1000X-C03,https://drony.heureka.sk/dji-s1000-plus-premium-plus-a2-plus-z15-gh4-dji1000x-c03/,"3 599,00 €",S1000+ Premium + A2 + Z15 (GH4),
DJI S1000+ Premium + A2 + Z15 5D HD - DJI1000X-C02,https://drony.heureka.sk/dji-s1000-plus-premium-plus-a2-plus-z15-5d-hd-dji1000x-c02/,"3 599,00 €",S1000+ Premium + A2 + Z15 (5D HD),
DJI S1000+ Premium + A2 - DJI1000X-C01,https://drony.heureka.sk/dji-s1000-plus-premium-plus-a2-dji1000x-c01/,"2 339,00 €",S1000+ Premium + A2,
DJI S1000 Profi + A2 + Z15 BMPCC - DJI1000-C03,https://drony.heureka.sk/dji-s1000-profi-plus-a2-plus-z15-bmpcc-dji1000-c03/,"4 780,00 €","S1000 BEZPEČNOST A STABILITA Díky ""V-čkové"" konstrukci dokáže ze svého pohonnému systému S1000 vytáhnout neskutečný výkon a účinnost. V kombinaci s řídící jednotkou jako...",
DJI F550 + Naza-M V2 + GPS + podvozok - DJI0121-12,https://drony.heureka.sk/dji-f550-plus-naza-m-v2-plus-gps-plus-podvozok-dji0121-12/,"399,00 €","F550 Stavebnice mechaniky hexakoptéry pro rekreační i poloprofesionální létání v rozsypu. Po doplnění RC soupravou (aspoň 6 kanálů), řídící jednotkou a 3S pohonným Li-po...",
DJI Phantom 3 Professional Edition (DJI0322),https://drony.heureka.sk/dji-phantom-3-professional-edition-dji0322/,"899,00 €",DJI Phantom 3 Professional s 3-osým stabilizovaním obrazu a 4k kamerou. Nástupca najpopulárnejšich dronov Phantom 2 prichádza s niekoľkými vylepšeniami. Nové motory a regulatory...,
DJI Inspire 1 Pro - DJI0610,https://drony.heureka.sk/dji-inspire-1-pro-dji0610/,"3 650,00 - 3 899,00 €","Profesionálny dron, ktorý je navrhnutý k vysokému výkonu a vyrobený z ultra ľahkých a odolných materiálov. Veľká flexibilita poskytuje stabilitu, ktorú potrebujete pre...",
Parrot Jumping Race Tuk Tuk - PF724303AA,https://drony.heureka.sk/parrot-jumping-race-tuk-tuk-pf724303aa/,"158,40 €","Drony z rady Jumping sú inteligentné pozemné roboty, pilotované cez Wi-Fi pomocou aplikácie v smartfóne alebo tablete. 

Zabudovaná kamera

- Sú vybavené šiorkouhlou kamerou,...",
DJI Phantom 2 F308 2.4GHz - DJI0308BEZ,https://drony.heureka.sk/dji-phantom-2-f308-2_4ghz-dji0308bez/,"399,00 €",DJI Phantom 2 - F308 2.4GHz New Version,
DJI F450 + Naza-M Lite + GPS + podvozok - DJI0121-09,https://drony.heureka.sk/dji-f450-plus-naza-m-lite-plus-gps-plus-podvozok-dji0121-09/,"219,00 - 221,85 €","Sada obsahuje stavebnicu DJI-F450 ARF (mechanika kvadrokoptéry so 4 striedavými motormi C2312E / 800 a 20A regulátory), modul autopilota NAZA-Lite vrátane GPS / kompasu a...",
DJI F550 + Naza-M V2 + GPS + H3-3D super combo - DJI0121-14,https://drony.heureka.sk/dji-f550-plus-naza-m-v2-plus-gps-plus-h3-3d-super-combo-dji0121-14/,"907,00 €","F550 Stavebnice mechaniky hexakoptéry pro rekreační i poloprofesionální létání v rozsypu. Po doplnění RC soupravou (aspoň 6 kanálů), řídící jednotkou a 3S pohonným Li-po...",
DJI F550 + Naza-M Lite + GPS + podvozok - DJI0121-10,https://drony.heureka.sk/dji-f550-plus-naza-m-lite-plus-gps-plus-podvozok-dji0121-10/,"289,00 €","F550 Stavebnice mechaniky hexakoptéry pro rekreační i poloprofesionální létání v rozsypu. Po doplnění RC soupravou (aspoň 6 kanálů), řídící jednotkou a 3S pohonným Li-po...",
DJI F450 + Naza-M V2 + GPS + podvozok - DJI0121-11,https://drony.heureka.sk/dji-f450-plus-naza-m-v2-plus-gps-plus-podvozok-dji0121-11/,"299,00 €",Combo kvadrokoptéry DJI F450 + stabilizačný riadiaca jednotka Naza-M V2 s GPS + podvozok.,
Parrot Jumping Race Max - PF724304AA,https://drony.heureka.sk/parrot-jumping-race-max-pf724304aa/,"158,40 €","Drony z rady Jumping sú inteligentné pozemné roboty, pilotované cez Wi-Fi pomocou aplikácie v smartfóne alebo tablete. 

Zabudovaná kamera

- Sú vybavené šiorkouhlou kamerou,...",
Amewi AMX-51 - dron s HD kamerou - RC_16710,https://drony.heureka.sk/amewi-amx-51-dron-s-hd-kamerou-rc-16710/,"170,00 €","Kvadrokoptéra s kamerou
Najnovšia verzia PRO s HD kamerou pre rok 2015. Oproti verzi 2014 boli odstránené problémy s krátkým dosahom.

Novinka pre slovenský trh RC model Drone...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DFmodel SKYWATCHER PRO - dron s HD kamerou a FPV prenosom v AL kufri - RC_16701,https://drony.heureka.sk/dfmodel-skywatcher-pro-dron-s-hd-kamerou-a-fpv-prenosom-v-al-kufri-rc-16701/,"235,00 €","Dron s FPV a hlinkovým kufrom - na diaľkové ovládanie

Konečne Dron s online FPV prenosom videa na vysielačku do 333 Eur. Na túto novinku sme čakali naozaj dlho. Buď sú FPV...",
Eachine Ninja Hybrid - mini šplhací dron - RC_16735,https://drony.heureka.sk/eachine-ninja-hybrid-mini-splhaci-dron-rc-16735/,"42,00 €","Šplhací dron na dIAľkové ovládanie - Ninja hybrid

Mini Ninja - najmenšia kvadrokoptéra na trhu s dvoma adaptérmi pre ešte väčšiu zábavu (ochrana vrtúľ a climbing ""šplhanie po...",
WLToys HAWK-EYE - dron s HD kamerou a FPV - RC 16816,https://drony.heureka.sk/wltoys-hawk-eye-dron-s-hd-kamerou-a-fpv-rc-16816/,"157,00 - 159,00 €","SKY HAWKEYE HM 1315 FPV - Dron s online prenosom videa
 

RC kvadrokoptéra Sky Hawkeye 1315S s FPV online prenosom videa. Jedná sa o 4 kanálový model a nechýba ani možnosť...",
UFO BIG-LH - dron s kamerou a FPV prenosom videa - RC_16711,https://drony.heureka.sk/ufo-big-lh-dron-s-kamerou-a-fpv-prenosom-videa-rc-16711/,"220,00 €","Kvadrokoptéra UFO BIG-LH  s kamerou a FPV prenosom

RC model dronu UFO BIG-LH nás prekvapil hlavne svojou mohutnosťou. V uhlopriečkou má 60cm čo sa nám podľa fotiek naozaj...",
Syma X12 miniatúrny dron - RC_16695,https://drony.heureka.sk/syma-x12-miniaturny-dron-rc-16695/,"39,00 €","MINIAtúrny dron na diaľkové ovládanie

Drieme vo vás túžba stať sa pilotom? Chcete urobiť radosť vášmu dieťaťu s unikátnym lietajúcim strojom? Potom je ideálnym darčekom pre vás...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Jamara FlyScout - obrovský dron s kompasom - RC_16697,https://drony.heureka.sk/jamara-flyscout-obrovsky-dron-s-kompasom-rc-16697/,"151,00 €","Už sa vám s vaším dronom stalo, že pri lete do väčších diaľok nebolo ľahké sa vrátiť , pretože ste nevedeli akým smerom je model natočený? Nemecká firma Jamara našla riešenie...",
Jamara FlyScout - obrovský dron s kamerou a kompasom - RC_16697,https://drony.heureka.sk/jamara-flyscout-obrovsky-dron-s-kamerou-a-kompasom-rc-16697/,"179,00 €","Už sa vám určite s vaším dronom stalo, že pri lete do väčších diaľok nebolo ľahké sa vrátiť, pretože ste nevedeli akým smerom je model natočený? Nemecká firma Jamara našla...",
Cheerson CX-30 dron s kamerou - RC_16700,https://drony.heureka.sk/cheerson-cx-30-dron-s-kamerou-rc-16700/,"79,00 €","Cheerson CX-30C, RTF, 2.4 GHz, 6-axis

RC Kvadrokoptéra Cheerson CX-30 so zabudovanou digitálnou kamerou je vyrobená z odolného materiálu a vybavená pokročilou stabilizáciou...",
MJX X400 - dron s FPV prenosom - RC_16991,https://drony.heureka.sk/mjx-x400-dron-s-fpv-prenosom-rc-16991/,"104,00 €","Firma MJX sa preslávila výrobou veľmi kvalitných a hlavne odolných vrtuľníkov za dobrú cenu. MJX X400 je teda veľmi očakáváný dron.

Skvelý FPV dron je vyrobený z odolného...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
WLToys SUPER AVIATOR V686G - dron s HD kamerou a FPV prenosom - RC_16717,https://drony.heureka.sk/wltoys-super-aviator-v686g-dron-s-hd-kamerou-a-fpv-prenosom-rc-16717/,"149,00 - 175,00 €","DRON SUPER AVIATOR 2,4 GHZ S FPV PRENOSOM VIDEA A HD KAMEROU , 6-OSÉ GYRO

Na túto novinku sme čakali naozaj dlho. Sú len dve zvyčajné variácie a to, že sú FPV modely zbytočne...",
DJI S1000+ Premium + A2 + Z15 A7 - DJI1000X-C06,https://drony.heureka.sk/dji-s1000-plus-premium-plus-a2-plus-z15-a7-dji1000x-c06/,"3 599,00 €",,
DJI S1000 Professional - DJI1000,https://drony.heureka.sk/dji-s1000-professional-dji1000/,"2 623,20 €","BEZPEČNOST A STABILITA Díky ""V-čkové"" konstrukci dokáže ze svého pohonnému systému S1000 vytáhnout neskutečný výkon a účinnost. V kombinaci s řídící jednotkou jako například A2...",
DJI S1000+ Premium + A2 + Z15 Nex-7 - DJI1000X-C05,https://drony.heureka.sk/dji-s1000-plus-premium-plus-a2-plus-z15-nex-7-dji1000x-c05/,"3 599,00 €",S1000+ Premium + A2 + Z15 (Nex-7),
DJI Inspire 1 V2.0 - DJI0602,https://drony.heureka.sk/dji-inspire-1-v2_0-dji0602/,"2 299,00 €","DJI Inspire 1 V2.0 DJI predstavilo svoje najmodernejšie technológie v poslednom predstavenom modeli Inspire 1. Inspire 1 je veľmi ľahko ovládateľné zariadenie, vďaka ktorej vaše...",
AEE TORUK AP11,https://drony.heureka.sk/aee-toruk-ap11/,"540,00 - 789,00 €","AEE TORUK AP11 Profesionálny dron s trojosím stabilizátorom pre leteckých nadšencov a filmárov pre kamery MagiCam, GoPro, LAMAX a ďalšie. GPS, funkcia FollowMe, výdrž až 20min letu",
Denver DCH-330 DV-DCH-330,https://drony.heureka.sk/denver-dch-330-dv-dch-330/,"103,90 €",kvadrokoptéra s integrovanou HD kamerou • gyro funkcia pre zvýšenie stability letu • 2 rýchlosti • výdrž na nabitie cca 6 až 9 minút • doba nabíjania: 60 minút • dosah cca 30...,
"T2M Spyrit FPV RTF 2,4GHz s kamerou mód 2 (3410560051669)",https://drony.heureka.sk/t2m-spyrit-fpv-rtf-2_4ghz-s-kamerou-mod-2-3410560051669/,"114,91 - 126,40 €",Micro kvadrokoptéra Spyrit FPV disponuje vynikajúcimi stabilnými letovými vlastnosťami a je konštruovaná pre pokojné lietanie vonku i doma a pre natáčanie video snímok a...,
AEE Toruk AP10 Pro Drohne,https://drony.heureka.sk/aee-toruk-ap10-pro-drohne/,"388,18 €","TypTyp: Dron s kamerouRC-prevedenie: RTF (Ready to Fly)Vlastnosti dronovPresnosť vo vise vertikálna (m): 0,8Presnosť vo vise horizontálna (m): 2,5Max. uhlová rýchlosť priečnej...",
DJI S1000+ Premium + A2 + Z15 BMPCC - DJI1000X-C04,https://drony.heureka.sk/dji-s1000-plus-premium-plus-a2-plus-z15-bmpcc-dji1000x-c04/,"3 599,00 €",S1000+ Premium + A2 + Z15 (BMPCC),
Yuneec H920 Tornado Hexakopter - GB603,https://drony.heureka.sk/yuneec-h920-tornado-hexakopter-gb603/,"4 632,00 €",Vlastnosti Typ Dron RC- provedení RTF (Ready to Fly) RC- pohon Střídavé motory Max. úhlová rychlost příčné osy (°/s) 100 Max. úhel náklonu (°) 35 Max. letová rychlost (m/s) 21...,
MJX X101 - GOPRO,https://drony.heureka.sk/mjx-x101-gopro/,"139,00 €","KVADROKOPTERA MJX-X101 verzia bez kamery

Kvadrokoptéra MJX - X101 má veľmi dobré letové vlastnosti, ľahko sa ovláda a je pri lete veľmi stabilná. Napájanie zabezpečuje...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DJI Phantom 3 4K - DJI0328,https://drony.heureka.sk/dji-phantom-3-4k-dji0328/,"673,00 - 845,00 €","Smart drone s videopřenosovou súpravou, dosah až 2km, Li-Pol batéria 4480mAh, kamera 4K s 3osý závesom a analógovým prenosom obrazu. Snímajte profesionálne zábery dych berúcich...",
Syma X6 - obrovský dron na diaľkové ovládanie - RC_8572,https://drony.heureka.sk/syma-x6-obrovsky-dron-na-dialkove-ovladanie-rc-8572/,"89,00 €","RC model kvadrokoptéry SYMA X6

RC kvadrokoptéra SYMA X6 nám doslova vyrazila dych. 70cm uhlopriečka už naozaj budí rešpekt. Samozrejmosťou je vysielač na 2,4Ghz s veľkým...",
RC kvadrokoptéra Rayline - R802-1,https://drony.heureka.sk/rc-kvadrokoptera-rayline-r802-1/,"46,00 €","RC kvadrokoptéra Rayline - R802-1

Náš nový model v kategorii mini-dron. Ochranná klietka zaručuje maximálnu ochranu dronu a zároveň ju môžete používať ako doplnok na hranie....",
Parrot Bebop Drone 2 Red - PF726030AA,https://drony.heureka.sk/parrot-bebop-drone-2-red-pf726030aa/,"568,00 €","Výrobca: Parrot SA
 Trieda produktu: Ostatné, LED osvetlenie, IEEE 802.11a/b/g/n/ac, Wi-Fi
 Viac informácií: www.parrot.com [LINK]",
"LRP H4 Gravit RC set 2,4Ghz s HD kamerou - L220704",https://drony.heureka.sk/lrp-h4-gravit-rc-set-2_4ghz-s-hd-kamerou-l220704/,"129,00 - 132,23 €","Nástupce oblíbené micro kvadrokoptéry s vynikajícími letovými vlastnostmi je konstruovaný tak, aby ""přežil"" i hrubé zacházení. Konstrukce z kvalitního pružného plastu chrání...",
Kvadrokoptéra Dromida Vista FPV - 0707768204014,https://drony.heureka.sk/kvadrokoptera-dromida-vista-fpv-0707768204014/,"133,50 €","Dron Kvadrokoptéra Dromida Vista FPV modrá: Dron s kamerou a vynikajúcimi letovými vlastnosťami pre lietanie vnútri aj vonku - to je Dromida Vista FPV, ktorá je určená pre...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Kvadrokoptéra Kodo Camera (0707768200054),https://drony.heureka.sk/kvadrokoptera-kodo-camera-0707768200054/,"58,90 €","Dron je navádzaný pomocou rádiového vysielača, ktorý je súčasťou balenia spolu s náhradnou súpravou vrtulí a vybavený je kamerou, farebným LED osvetlením, batéria 850mAh...",
Parrot Airbone Cargo Drone Mars - PF723305AA,https://drony.heureka.sk/parrot-airbone-cargo-drone-mars-pf723305aa/,"90,06 - 103,00 €",Parrot Airbone Cargo Drone Mars,
Parrot Airbone Night Drone Swat - PF723106AA,https://drony.heureka.sk/parrot-airbone-night-drone-swat-pf723106aa/,"60,00 - 117,35 €",Parrot Airbone Night Drone Swat,
Syma X8C Venture - rc dron s HD kamerou - RC_16794,https://drony.heureka.sk/syma-x8c-venture-rc-dron-s-hd-kamerou-rc-16794/,"101,15 - 115,00 €","RC kvadrokoptéra s HD kamerou
Tisíce predaných dronov SYMA X5C dokazujú, že sa SYMA vydala správnym smerom. Väčší braček SYMA X8C je dôkazom.
Nový, extrémne stabilný RC model...",
Amewi UFO Blaxter X80 - rc mini dron - RC_16471,https://drony.heureka.sk/amewi-ufo-blaxter-x80-rc-mini-dron-rc-16471/,"45,00 €","Mini dron na diaľkové ovládanie

Malý dron na diaľkové ovládanie Ufo Blaxter X80 je vybavený gyro stabilizačným systémom a tak ho možno veľmi jednoducho ovládať. Model je už...",
Yelow SKYking - rc dron s kamerou - RC_16584,https://drony.heureka.sk/yelow-skyking-rc-dron-s-kamerou-rc-16584/,"68,00 €","RC dron s kamerou na diaľkové ovládanie

RC model kvadrokoptéry Yelow Skyking je usadený vo vysoko odolnom penovom ráme s vstavaným LED svetlami. Integrovaný kamera pre...",
YiZhan ZHAN X4 - najrýchlejší dron - RC_16696,https://drony.heureka.sk/yizhan-zhan-x4-najrychlejsi-dron-rc-16696/,"59,00 €","ZHAN X4 - nAjrýchlejší dron sÚčasnosti

Tak táto kvadrokoptéra nás naozaj prekvapila. Naozaj rýchle a presné prelety. Ak vás vaše neakčnú a lenivá kvadrokoptéra nebaví potom je...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Parrot Airbone Night Drone Blaze - PF723108AA,https://drony.heureka.sk/parrot-airbone-night-drone-blaze-pf723108aa/,"60,00 - 117,35 €",Parrot Airbone Night Drone Blaze,
Parrot Airbone Cargo DroneTravis - PF723304AA,https://drony.heureka.sk/parrot-airbone-cargo-dronetravis-pf723304aa/,"90,06 - 93,00 €",Parrot Airbone Cargo DroneTravis,
Parrot Hydrofoil Drone Orak - PF723403AA,https://drony.heureka.sk/parrot-hydrofoil-drone-orak-pf723403aa/,"120,00 €",Parrot Hydrofoil je obojživelná hračka ovládaná cez Bluetooth z vášho telefónu alebo tabletu. Pripnite kvadrokoptéru na hornú časť plávajúceho modulu a použite jej rotory pre...,
Parrot Airbone Night Drone MacLane - PF723107AA,https://drony.heureka.sk/parrot-airbone-night-drone-maclane-pf723107aa/,"60,00 - 117,35 €",Parrot Airbone Night Drone MacLane,
WLToys SPACE TREK - dron s HD kamerou a FPV prenosom - RC_16714,https://drony.heureka.sk/wltoys-space-trek-dron-s-hd-kamerou-a-fpv-prenosom-rc-16714/,"259,00 - 265,00 €","RC modely kvadrokoptér s FPV online prenosom + stabilizácia kamery

Tak tento kúsok už je naozaj bez kompromisu. RC kvadrokoptéra SPACE TREK je vybavená HD kamerou s FPV...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
"Syma X5HW FPV, BAROMETER kompas - RS_X5HW-B",https://drony.heureka.sk/syma-x5hw-fpv-barometer-kompas-rs-x5hw-b/,"85,00 - 89,00 €","SYMA X5HW - rc kvadrokoptéra s FPV, barometrom a kompasom

Na rozdiel od svojich predchodcov, modelov X5SC a X5SW vyzerá nielen atraktívnejšie, ale tiež má funkciu visenie. 6...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Xiro RC dron Xplorer 14MP HD wifi kamera - 693688096000,https://drony.heureka.sk/xiro-rc-dron-xplorer-14mp-hd-wifi-kamera-693688096000/,"1 050,00 €","Xiro Xplorer je profesionálna kvadrokoptéra s nevšedným a inteligentným dizajnom. Konštrukcia pozostáva z veľmi kvalitných materiálov, špičkovej elektroniky a GPS. Pohonná...",
